time,cumulativeEmpty,cumulativeBatchingIdleReward,batchingIdleTime,batchingIdleFraction
22.6,1.65,27.8,13.9,0.6150442477876106194690265486725664
22.7,1.65,27.8,13.9,0.6123348017621145374449339207048458
22.8,1.65,27.8,13.9,0.6096491228070175438596491228070175
22.9,1.65,27.8,13.9,0.6069868995633187772925764192139738
23.0,1.65,27.8,13.9,0.6043478260869565217391304347826087
23.1,1.65,27.8,13.9,0.6017316017316017316017316017316017
23.2,1.65,27.8,13.9,0.5991379310344827586206896551724138
23.3,1.65,27.8,13.9,0.5965665236051502145922746781115880
23.4,1.65,27.8,13.9,0.5940170940170940170940170940170940
23.5,1.65,27.8,13.9,0.5914893617021276595744680851063830
23.6,1.65,27.8,13.9,0.5889830508474576271186440677966102
23.7,1.65,27.8,13.9,0.5864978902953586497890295358649789
23.8,1.65,27.8,13.9,0.5840336134453781512605042016806723
23.9,1.65,27.8,13.9,0.5815899581589958158995815899581590
24.0,1.65,27.8,13.9,0.5791666666666666666666666666666667
24.1,1.65,27.8,13.9,0.5767634854771784232365145228215768
24.2,1.65,27.8,13.9,0.5743801652892561983471074380165289
24.3,1.65,27.8,13.9,0.5720164609053497942386831275720165
24.4,1.65,27.8,13.9,0.5696721311475409836065573770491803
24.5,1.65,27.8,13.9,0.5673469387755102040816326530612245
24.6,1.65,27.8,13.9,0.5650406504065040650406504065040650
24.7,1.65,27.8,13.9,0.5627530364372469635627530364372470
24.8,1.65,27.8,13.9,0.5604838709677419354838709677419355
24.9,1.65,27.8,13.9,0.5582329317269076305220883534136546
25.0,1.65,27.8,13.9,0.556
25.1,1.65,27.8,13.9,0.5537848605577689243027888446215139
25.2,1.65,27.8,13.9,0.5515873015873015873015873015873016
25.3,1.65,27.8,13.9,0.5494071146245059288537549407114625
25.4,1.65,27.8,13.9,0.5472440944881889763779527559055118
25.5,1.65,27.8,13.9,0.5450980392156862745098039215686275
25.6,1.65,27.8,13.9,0.54296875
25.7,1.65,27.8,13.9,0.5408560311284046692607003891050584
25.8,1.65,27.8,13.9,0.5387596899224806201550387596899225
25.9,1.65,27.8,13.9,0.5366795366795366795366795366795367
26.0,1.65,27.8,13.9,0.5346153846153846153846153846153846
26.1,1.65,27.8,13.9,0.5325670498084291187739463601532567
26.2,1.65,27.8,13.9,0.5305343511450381679389312977099237
26.3,1.65,27.8,13.9,0.5285171102661596958174904942965779
26.4,1.65,27.8,13.9,0.5265151515151515151515151515151515
